Sdf, 0, 30626, 1
Sff, 0, 29753, 1
Sdf, 0, 41073, 2
Sff, 0, 47377, 2
Sdf, 0, 78147, 4
Sff, 0, 94857, 4
Sdf, 0, 149375, 8
Sff, 0, 189808, 8
Sdf, 0, 299008, 16
Sff, 0, 379538, 16
Sdf, 0, 666410, 32
Sff, 0, 758427, 32
Sdf, 1, 295431, 64
Sff, 1, 516783, 64
Sdf, 2, 554445, 128
Sff, 3, 33970, 128
Sdf, 5, 81996, 256
Sff, 6, 74588, 256
Sdf, 10, 135118, 512
Sff, 12, 181690, 512
Sdf, 20, 325306, 1024
Sff, 24, 292554, 1024
Sdf, 0, 30995, 1
Sff, 0, 29622, 1
Sdf, 0, 41058, 2
Sff, 0, 47383, 2
Sdf, 0, 78020, 4
Sff, 0, 94753, 4
Sdf, 0, 149301, 8
Sff, 0, 189614, 8
Sdf, 0, 298470, 16
Sff, 0, 379200, 16
Sdf, 0, 685899, 32
Sff, 0, 758216, 32
Sdf, 1, 317902, 64
Sff, 1, 516267, 64
Sdf, 2, 581007, 128
Sff, 3, 35289, 128
Sdf, 5, 115323, 256
Sff, 6, 75195, 256
Sdf, 10, 161986, 512
Sff, 12, 146595, 512
Sdf, 20, 282893, 1024
Sff, 24, 309100, 1024
Sdf, 0, 30309, 1
Sff, 0, 29528, 1
Sdf, 0, 41116, 2
Sff, 0, 47384, 2
Sdf, 0, 78078, 4
Sff, 0, 94766, 4
Sdf, 0, 149075, 8
Sff, 0, 189652, 8
Sdf, 0, 298885, 16
Sff, 0, 379542, 16
Sdf, 0, 666503, 32
Sff, 0, 758152, 32
Sdf, 1, 295985, 64
Sff, 1, 516948, 64
Sdf, 2, 561679, 128
Sff, 3, 37029, 128
Sdf, 5, 94108, 256
Sff, 6, 70775, 256
Sdf, 10, 128377, 512
Sff, 12, 139528, 512
Sdf, 20, 240027, 1024
Sff, 24, 302220, 1024
Sdf, 0, 30787, 1
Sff, 0, 29723, 1
Sdf, 0, 41125, 2
Sff, 0, 47467, 2
Sdf, 0, 77898, 4
Sff, 0, 94813, 4
Sdf, 0, 149091, 8
Sff, 0, 189731, 8
Sdf, 0, 298421, 16
Sff, 0, 379657, 16
Sdf, 0, 676764, 32
